iter	MultiClass
908	0.09559728256
909	0.09551344435
910	0.09547482734
911	0.09540042071
912	0.09533468641
913	0.09526489216
914	0.09519780272
915	0.09511986594
916	0.0950882689
917	0.09504229686
918	0.09497320241
919	0.09487835368
920	0.09473560993
921	0.09461433826
922	0.09446634328
923	0.09440510491
924	0.09431014901
925	0.09426621854
926	0.09417404268
927	0.09414803226
928	0.0941144556
929	0.09398981658
930	0.09394683788
931	0.09384841362
932	0.09372802854
933	0.09361247046
934	0.09352080273
935	0.09347976081
936	0.09341203261
937	0.0932084454
938	0.09309700765
939	0.09306535838
940	0.09301921887
941	0.09295727498
942	0.09290130243
943	0.09279109992
944	0.09269938974
945	0.09253516852
946	0.09238352618
947	0.09233045931
948	0.09226782012
949	0.09217355936
950	0.09210328639
951	0.09204709736
952	0.09196359527
953	0.09192902236
954	0.09187236129
955	0.09180650664
956	0.09171696104
957	0.09167255661
958	0.09166559352
959	0.09165298376
960	0.09162053909
961	0.09150854388
962	0.09150297239
963	0.09142403367
964	0.09140693753
965	0.09133485384
966	0.09128485639
967	0.0912151463
968	0.09108704323
969	0.09099360954
970	0.09081743328
971	0.09071479686
972	0.09065748124
973	0.09055467215
974	0.09048319955
975	0.09044283443
976	0.09043125776
977	0.09035896793
978	0.09030803212
979	0.09019178361
980	0.09010925989
981	0.09006217153
982	0.08997281647
983	0.08990890859
984	0.08986397777
985	0.08980254619
986	0.08978602032
987	0.08970455701
988	0.08963150511
989	0.08952260741
990	0.08949945724
991	0.08946139998
992	0.08938141033
993	0.0893261511
994	0.08922256093
995	0.08912198702
996	0.08899107058
997	0.08895639227
998	0.08890422706
999	0.08881174283
